Symbol,01-11-2024 OI,29-11-2024 OI,27-12-2024 OI,31-12-2024 OI,MAX,CURRENT OI IS MAX ?,AVG,AVG TO MAX,PRESENT TO LAST MONTH,01-11-2024 OI(LOTS),29-11-2024 OI(LOTS),27-12-2024 OI(LOTS),31-12-2024 OI(LOTS),MAX(LOTS),AVG(LOTS)
AARTIIND,14528000.0,15835000.0,16251000.0,15256000,16251000.0,NO,15538000,0.045888,0.938773,14528.0,15835.0,16251.0,15256.0,16251.0,15538
ABB,1732375.0,1471500.0,1640875.0,1753875,1753875,YES,1614916,0.086047,1.068866,13859.0,11772.0,13127.0,14031.0,14031.0,12919
ABBOTINDIA,102620.0,93760.0,80280.0,79760,102620.0,NO,92220,0.112774,0.993523,5131.0,4688.0,4014.0,3988.0,5131.0,4611
ABCAPITAL,70348500.0,67246200.0,63225900.0,61184700,70348500.0,NO,66940200,0.050916,0.967716,26055.0,24906.0,23417.0,22661.0,26055.0,24792
ABFRL,55876600.0,52855400.0,59090200.0,58744400,59090200.0,NO,55940733,0.0563,0.994148,21491.0,20329.0,22727.0,22594.0,22727.0,21515
ACC,5213700.0,3641400.0,4189800.0,4091100,5213700.0,NO,4348300,0.19902,0.976443,17379.0,12138.0,13966.0,13637.0,17379.0,14494
ADANIENT,20760600.0,17830200.0,16767000.0,17040300,20760600.0,NO,18452600,0.125077,1.0163,69202.0,59434.0,55890.0,56801.0,69202.0,61508
ADANIPORTS,25978000.0,31214000.0,27589600.0,27484400,31214000.0,NO,28260533,0.104509,0.996187,64945.0,78035.0,68974.0,68711.0,78035.0,70651
ALKEM,1965500.0,1144800.0,1062400.0,1066700,1965500.0,NO,1390900,0.413114,1.004047,19655.0,11448.0,10624.0,10667.0,19655.0,13909
AMBUJACEM,42915600.0,38235600.0,35748900.0,35839800,42915600.0,NO,38966700,0.10134,1.002543,47684.0,42484.0,39721.0,39822.0,47684.0,43296
APOLLOHOSP,1766750.0,1854125.0,1626125.0,1667125,1854125.0,NO,1749000,0.060106,1.025213,14134.0,14833.0,13009.0,13337.0,14833.0,13992
APOLLOTYRE,13178400.0,12976100.0,13481000.0,13652700,13652700,YES,13211833,0.033369,1.012736,7752.0,7633.0,7930.0,8031.0,8031.0,7771
ASHOKLEY,83327500.0,61980000.0,60355000.0,61212500,83327500.0,NO,68554166,0.215499,1.014208,33331.0,24792.0,24142.0,24485.0,33331.0,27421
ASIANPAINT,11093800.0,13211800.0,14654200.0,13783000,14654200.0,NO,12986600,0.128409,0.940549,55469.0,66059.0,73271.0,68915.0,73271.0,64933
ASTRAL,4435562.0,4623466.0,4704206.0,4463454,4704206.0,NO,4587744,0.025385,0.948822,12086.0,12598.0,12818.0,12162.0,12818.0,12500
ATUL,1100700.0,890800.0,649600.0,646700,1100700.0,NO,880366,0.250275,0.995536,11007.0,8908.0,6496.0,6467.0,11007.0,8803
AUBANK,19186000.0,20477000.0,23390000.0,26332000,26332000,YES,21017666,0.252851,1.12578,19186.0,20477.0,23390.0,26332.0,26332.0,21017
AUROPHARMA,12173700.0,13257200.0,13162600.0,13772550,13772550,YES,12864500,0.070586,1.04634,22134.0,24104.0,23932.0,25041.0,25041.0,23390
AXISBANK,58615000.0,72126875.0,77540000.0,78395625,78395625,YES,69427291,0.129176,1.011035,93784.0,115403.0,124064.0,125433.0,125433.0,111083
BAJAJ-AUTO,2900250.0,2977200.0,3140475.0,3296175,3296175,YES,3005975,0.096541,1.049578,38670.0,39696.0,41873.0,43949.0,43949.0,40079
BAJAJFINSV,10759000.0,15029500.0,13783500.0,13106000,15029500.0,NO,13190666,0.139404,0.950847,21518.0,30059.0,27567.0,26212.0,30059.0,26381
BAJFINANCE,8862625.0,10027125.0,10309750.0,10125625,10309750.0,NO,9733166,0.059239,0.982141,70901.0,80217.0,82478.0,81005.0,82478.0,77865
BALKRISIND,1802400.0,1774800.0,1706100.0,1773600,1802400.0,NO,1761100,0.023451,1.039564,6008.0,5916.0,5687.0,5912.0,6008.0,5870
BANDHANBNK,102855200.0,110479600.0,100570400.0,96157600,110479600.0,NO,104635066,0.055856,0.956122,36734.0,39457.0,35918.0,34342.0,39457.0,37369
BANKBARODA,173721600.0,168061725.0,167374350.0,172847025,173721600.0,NO,169719225,0.023582,1.032697,59392.0,57457.0,57222.0,59093.0,59392.0,58023
BATAINDIA,3728625.0,3349500.0,3252000.0,3164250,3728625.0,NO,3443375,0.08284,0.973017,9943.0,8932.0,8672.0,8438.0,9943.0,9182
BEL,133494000.0,125097900.0,114159600.0,108867150,133494000.0,NO,124250500,0.074394,0.95364,46840.0,43894.0,40056.0,38199.0,46840.0,43596
BERGEPAINT,8627520.0,6705600.0,10087440.0,9304680,10087440.0,NO,8473520,0.190466,0.922403,6536.0,5080.0,7642.0,7049.0,7642.0,6419
BHARATFORG,10123000.0,10934000.0,11239000.0,11355000,11355000,YES,10765333,0.054775,1.010321,20246.0,21868.0,22478.0,22710.0,22710.0,21530
BHARTIARTL,44980125.0,53614200.0,44305625.0,44786325,53614200.0,NO,47633316,0.125561,1.01085,94695.0,112872.0,93275.0,94287.0,112872.0,100280
BHEL,95056500.0,83976375.0,82703250.0,86034375,95056500.0,NO,87245375,0.089531,1.040278,36212.0,31991.0,31506.0,32775.0,36212.0,33236
BIOCON,38562500.0,31710000.0,31592500.0,29395000,38562500.0,NO,33955000,0.135694,0.930442,15425.0,12684.0,12637.0,11758.0,15425.0,13582
BOSCHLTD,278500.0,282075.0,239125.0,240550,282075.0,NO,266566,0.058181,1.005959,11140.0,11283.0,9565.0,9622.0,11283.0,10662
BPCL,73067400.0,60098400.0,55926000.0,53634600,73067400.0,NO,63030600,0.159237,0.959028,40593.0,33388.0,31070.0,29797.0,40593.0,35017
BRITANNIA,2683700.0,2622500.0,2655500.0,2559800,2683700.0,NO,2653900,0.011229,0.963962,26837.0,26225.0,26555.0,25598.0,26837.0,26539
BSOFT,14109000.0,11589000.0,10703000.0,10732000,14109000.0,NO,12133666,0.162798,1.00271,14109.0,11589.0,10703.0,10732.0,14109.0,12133
CANBK,318303000.0,288981000.0,261346500.0,259922250,318303000.0,NO,289543500,0.099327,0.99455,47156.0,42812.0,38718.0,38507.0,47156.0,42895
CANFINHOME,4233450.0,3771300.0,4886700.0,4579575,4886700.0,NO,4297150,0.137196,0.937151,4342.0,3868.0,5012.0,4697.0,5012.0,4407
CHAMBLFERT,9355600.0,9745100.0,8477800.0,8289700,9745100.0,NO,9192833,0.060076,0.977813,4924.0,5129.0,4462.0,4363.0,5129.0,4838
CHOLAFIN,9226875.0,12332500.0,12223750.0,11898750,12332500.0,NO,11261041,0.095147,0.973412,14763.0,19732.0,19558.0,19038.0,19732.0,18017
CIPLA,14402050.0,13822575.0,12829700.0,12648350,14402050.0,NO,13684775,0.052414,0.985865,44314.0,42531.0,39476.0,38918.0,44314.0,42107
COALINDIA,58146900.0,62167350.0,58534350.0,57997800,62167350.0,NO,59616200,0.042793,0.990834,55378.0,59207.0,55747.0,55236.0,59207.0,56777
COFORGE,2017500.0,2024925.0,2508525.0,2437350,2508525.0,NO,2183650,0.148776,0.971627,26900.0,26999.0,33447.0,32498.0,33447.0,29115
COLPAL,3880625.0,4483500.0,5060300.0,5037025,5060300.0,NO,4474808,0.130842,0.9954,22175.0,25620.0,28916.0,28783.0,28916.0,25570
CONCOR,19511000.0,18904000.0,17393000.0,16694000,19511000.0,NO,18602666,0.048828,0.959811,19511.0,18904.0,17393.0,16694.0,19511.0,18602
COROMANDEL,2764300.0,2405200.0,3461850.0,3492650,3492650,YES,2877116,0.213941,1.008897,7898.0,6872.0,9891.0,9979.0,9979.0,8220
CROMPTON,22926600.0,24985800.0,25149600.0,24908400,25149600.0,NO,24354000,0.032668,0.990409,12737.0,13881.0,13972.0,13838.0,13972.0,13530
CUB,39800000.0,31265000.0,28220000.0,29335000,39800000.0,NO,33095000,0.202599,1.039511,7960.0,6253.0,5644.0,5867.0,7960.0,6619
CUMMINSIND,4580850.0,4027200.0,3317850.0,3475800,4580850.0,NO,3975300,0.152328,1.047606,30539.0,26848.0,22119.0,23172.0,30539.0,26502
DABUR,18798750.0,19750000.0,20933750.0,20123750,20933750.0,NO,19827500,0.055794,0.961307,15039.0,15800.0,16747.0,16099.0,16747.0,15862
DALBHARAT,1850475.0,3187525.0,2526975.0,2316050,3187525.0,NO,2521658,0.264059,0.916531,6729.0,11591.0,9189.0,8422.0,11591.0,9169
DEEPAKNTR,1582200.0,2037900.0,1675200.0,1631400,2037900.0,NO,1765100,0.154552,0.973854,5274.0,6793.0,5584.0,5438.0,6793.0,5883
DIVISLAB,3127400.0,3543300.0,3246000.0,3133700,3543300.0,NO,3305566,0.071919,0.965404,31274.0,35433.0,32460.0,31337.0,35433.0,33055
DIXON,1673550.0,1474550.0,1523850.0,1422500,1673550.0,NO,1557316,0.074637,0.933491,33471.0,29491.0,30477.0,28450.0,33471.0,31146
DLF,42987450.0,43465125.0,40849875.0,41481825,43465125.0,NO,42434150,0.024296,1.01547,52106.0,52685.0,49515.0,50281.0,52685.0,51435
DRREDDY,9880000.0,11454375.0,12354375.0,11943125,12354375.0,NO,11229583,0.100163,0.966712,15808.0,18327.0,19767.0,19109.0,19767.0,17967
EICHERMOT,4478425.0,3603075.0,3523625.0,3595550,4478425.0,NO,3868375,0.157702,1.020412,25591.0,20589.0,20135.0,20546.0,25591.0,22105
ESCORTS,1346125.0,1117025.0,1297350.0,1272150,1346125.0,NO,1253500,0.073893,0.980576,4895.0,4096.0,8649.0,8481.0,8649.0,5880
EXIDEIND,30884400.0,37319400.0,34002000.0,32954400,37319400.0,NO,34068600,0.095419,0.96919,17158.0,20733.0,18890.0,18308.0,20733.0,18927
FEDERALBNK,64130000.0,71595000.0,82625000.0,79180000,82625000.0,NO,72783333,0.135219,0.958306,12826.0,14319.0,16525.0,15836.0,16525.0,14556
GAIL,90724850.0,100243650.0,107063650.0,110677950,110677950,YES,99344050,0.114087,1.033758,19833.0,22238.0,45559.0,47097.0,47097.0,29210
GLENMARK,3869325.0,3127125.0,2476825.0,2735850,3869325.0,NO,3157758,0.225339,1.104579,5337.0,4385.0,7621.0,8418.0,8418.0,5781
GNFC,5089500.0,5058300.0,5441800.0,5635500,5635500,YES,5196533,0.084473,1.035595,3915.0,3891.0,4186.0,4335.0,4335.0,3997
GODREJCP,10843000.0,10281500.0,12882500.0,13088000,13088000,YES,11335666,0.154586,1.015952,21686.0,20563.0,25765.0,26176.0,26176.0,22671
GODREJPROP,4362750.0,4528575.0,5022900.0,5059125,5059125,YES,4638075,0.090781,1.007212,19390.0,20127.0,22324.0,22485.0,22485.0,20613
GRANULES,14885000.0,17282000.0,13405000.0,13426000,17282000.0,NO,15190666,0.137672,1.001567,14885.0,17282.0,13405.0,13426.0,17282.0,15190
GRASIM,8492500.0,9787250.0,10986500.0,11451750,11451750,YES,9755416,0.173886,1.042347,33970.0,39149.0,43946.0,45807.0,45807.0,39021
GUJGASLTD,7753750.0,6068750.0,6365000.0,5965000,7753750.0,NO,6729166,0.15226,0.937156,6203.0,4855.0,5092.0,4772.0,6203.0,5383
HAL,12741150.0,10747350.0,9474150.0,9405900,12741150.0,NO,10987550,0.159599,0.992796,84941.0,71649.0,63161.0,62706.0,84941.0,73250
HAVELLS,9694000.0,9251000.0,8331500.0,8478500,9694000.0,NO,9092166,0.066193,1.017644,19388.0,18502.0,16663.0,16957.0,19388.0,18184
HCLTECH,13272000.0,12192250.0,11571000.0,11759300,13272000.0,NO,12345083,0.075084,1.016273,37920.0,34835.0,33060.0,33598.0,37920.0,35271
HDFCAMC,3472800.0,3690900.0,2936550.0,2946000,3690900.0,NO,3366750,0.09628,1.003218,23152.0,24606.0,19577.0,19640.0,24606.0,22445
HDFCBANK,149396500.0,142442300.0,120937850.0,123156000,149396500.0,NO,137592216,0.085792,1.018341,271630.0,258986.0,219887.0,223920.0,271630.0,250167
HDFCLIFE,20571100.0,22435600.0,27978500.0,26755300,27978500.0,NO,23661733,0.182437,0.956281,18701.0,20396.0,25435.0,24323.0,25435.0,21510
HEROMOTOCO,5282850.0,4375200.0,6864300.0,7180800,7180800,YES,5507450,0.303834,1.046108,35219.0,29168.0,45762.0,47872.0,47872.0,36716
HINDALCO,40194000.0,46628400.0,42001400.0,43719200,46628400.0,NO,42941266,0.085865,1.040899,28710.0,33306.0,30001.0,31228.0,33306.0,30672
HINDCOPPER,36609750.0,38690000.0,38992100.0,38032800,38992100.0,NO,38097283,0.023488,0.975398,13815.0,14600.0,14714.0,14352.0,14714.0,14376
HINDPETRO,43363350.0,39825675.0,40356225.0,38177325,43363350.0,NO,41181750,0.052975,0.946008,21414.0,19667.0,19929.0,18853.0,21414.0,20336
HINDUNILVR,15999600.0,15159300.0,14634600.0,14551500,15999600.0,NO,15264500,0.048157,0.994322,53332.0,50531.0,48782.0,48505.0,53332.0,50881
ICICIBANK,83222300.0,81561200.0,83949600.0,84886900,84886900,YES,82911033,0.023831,1.011165,118889.0,116516.0,119928.0,121267.0,121267.0,118444
ICICIGI,7586750.0,6283250.0,5961500.0,6540250,7586750.0,NO,6610500,0.147682,1.097081,30347.0,25133.0,23846.0,26161.0,30347.0,26442
ICICIPRULI,10639500.0,9586500.0,9394500.0,9893250,10639500.0,NO,9873500,0.077581,1.05309,14186.0,12782.0,12526.0,13191.0,14186.0,13164
IDEA,3503920000.0,3693240000.0,3434040000.0,3279680000,3693240000.0,NO,3543733333,0.042189,0.95505,87598.0,92331.0,85851.0,81992.0,92331.0,88593
IDFCFIRSTB,307935000.0,426187500.0,468540000.0,445642500,468540000.0,NO,400887500,0.168757,0.95113,41058.0,56825.0,62472.0,59419.0,62472.0,53451
IEX,49425000.0,42033750.0,34263750.0,32696250,49425000.0,NO,41907500,0.179383,0.954252,13180.0,11209.0,9137.0,8719.0,13180.0,11175
IGL,13311375.0,22248875.0,19916875.0,22037125,22248875.0,NO,18492375,0.203138,1.106455,9681.0,16181.0,14485.0,16027.0,16181.0,13449
INDHOTEL,21373000.0,18641000.0,14194000.0,16541000,21373000.0,NO,18069333,0.182833,1.165352,21373.0,18641.0,14194.0,16541.0,21373.0,18069
